label,stem,anchors,features,matched,recall,mean_isotopes,wrong_charge_only_rate,isotope_shift_only_rate,shifted_mass_match_rate
baseline,B03_20_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,24555,131317,20470,0.833638770107921,2.7041814844993413,0.007249032783547139,0.09191610669924659,8.144980655670943e-05
baseline,B03_21_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,24337,131380,20282,0.8333812713152813,2.702816258182372,0.006903069400501294,0.09286271931626741,4.10896988125077e-05
baseline,B03_15_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25228,132805,20967,0.8311003646741716,2.7235269756409775,0.007650229903282068,0.094854923101316,0.0001981924845409862
baseline,B03_16_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25315,132812,20960,0.827967608137468,2.7276526217510466,0.0076634406478372505,0.09784712620975707,0.0002370136282836263
selected,B03_20_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,24555,131246,20596,0.8387701079209937,2.6624125687640006,0.00794135613927917,0.08344532681734881,4.0724903278354713e-05
selected,B03_21_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,24337,131323,20445,0.84007889222172,2.660310836639431,0.007807042774376464,0.0837408061798907,8.21793976250154e-05
selected,B03_15_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25228,132812,21114,0.8369272237196765,2.6806237388187815,0.008006976375455842,0.0862533692722372,0.0001981924845409862
selected,B03_16_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25315,132770,21145,0.8352755283428798,2.684740528733901,0.008532490618210547,0.0883270788070314,0.00015800908552241754
