label,stem,anchors,features,matched,recall,mean_isotopes,wrong_charge_only_rate,isotope_shift_only_rate,shifted_mass_match_rate
s0.5_c8,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,133719,21113,0.8308279552967102,2.4258482339832037,0.010664253108767511,0.08043444042184794,0.00015740594994490792
s0.5_c8,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,137002,21403,0.8400910625269852,2.429431687128655,0.011304313694705028,0.07861993170310476,0.00023550653530635476
s0.5_c8,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,136988,21573,0.841774621507726,2.4345052121353694,0.011315748400187295,0.07714218823162167,0.00019509911034805682
s0.75_c2,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,134350,21287,0.8474124203821656,2.6726014142165986,0.00855891719745223,0.08403662420382166,3.980891719745223e-05
s0.75_c2,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,132230,21304,0.8383440894065796,2.6720713907585267,0.008578624271997482,0.08236266330867306,0.00015740594994490792
s0.75_c2,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,135538,21615,0.848412293441143,2.677256562735174,0.008556737449464223,0.08022922636103152,0.00011775326765317738
s0.75_c2,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,135505,21766,0.8493054471671609,2.6817903398398584,0.009208678008428282,0.07889808022475417,3.9019822069611365e-05
s0.75_c4,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,134535,21233,0.8452627388535032,2.583008139145947,0.009156050955414012,0.08312101910828025,7.961783439490445e-05
s0.75_c4,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,132386,21237,0.8357075397450023,2.58503920354116,0.009247599559263341,0.08208720289626947,0.00015740594994490792
s0.75_c4,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,135558,21541,0.8455077128390313,2.5888992165715043,0.00914550378773011,0.07956195784433018,0.00011775326765317738
s0.75_c4,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,135586,21677,0.8458326830029655,2.592273538565929,0.009637896051194007,0.07948337755579835,0.00011705946620883409
s0.75_c8,B03_10_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25120,135686,21042,0.8376592356687899,2.412054301843963,0.010788216560509553,0.08288216560509554,7.961783439490445e-05
s0.75_c8,B03_11_150304_human_ecoli_A_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25412,133403,21039,0.8279159452227294,2.412524455971755,0.00952305997166693,0.08409412875806706,0.00011805446245868093
s0.75_c8,B03_05_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25477,136725,21324,0.8369902264787847,2.4154982629365516,0.010401538642697335,0.08160301448365193,0.00023550653530635476
s0.75_c8,B03_06_150304_human_ecoli_E_3ul_3um_column_95_HCD_OT_2hrs_30B_9B,25628,136716,21480,0.838145778055252,2.4207334913250826,0.010808490713282347,0.08108319026065242,0.00015607928827844546
